iter	MultiClass
0	1.8214391
1	1.667130971
2	1.557709008
3	1.474577596
4	1.40900537
5	1.356003773
6	1.312120077
7	1.275681987
8	1.244437673
9	1.219632787
10	1.197491127
11	1.177340858
12	1.159805639
13	1.144487592
14	1.131194501
15	1.119565584
16	1.109307941
17	1.101616625
18	1.094317622
19	1.087204971
20	1.082228454
21	1.076844655
22	1.072833624
23	1.06826342
24	1.06414557
25	1.060797811
26	1.055597964
27	1.053476602
28	1.051491998
29	1.047262285
30	1.044494478
31	1.04308645
32	1.041555715
33	1.037189971
34	1.034462925
35	1.032234742
36	1.031239223
37	1.030546502
38	1.027616904
39	1.025816254
40	1.025101491
41	1.024498773
42	1.024011802
43	1.023718864
44	1.023313176
45	1.022805697
46	1.021756474
47	1.021455104
48	1.021228027
49	1.021084922
50	1.019912837
51	1.018948113
52	1.017817077
53	1.016913276
54	1.016788031
55	1.016709421
56	1.016397042
57	1.016193961
58	1.015881672
59	1.01571166
60	1.015628797
61	1.015194064
62	1.014974182
63	1.014734038
64	1.014698525
65	1.014096116
66	1.012692179
67	1.012606471
68	1.012483432
69	1.011960557
70	1.011527253
71	1.011503826
72	1.01134576
73	1.011187919
74	1.010744778
75	1.01070392
76	1.010612064
77	1.010361811
78	1.009290151
79	1.008303409
80	1.00822758
81	1.007888171
82	1.007033579
83	1.006742614
84	1.00670634
85	1.006465973
86	1.006417427
87	1.006328991
88	1.005640586
89	1.005535676
90	1.005153139
91	1.004511783
92	1.004197581
93	1.003628121
94	1.003149502
95	1.00271143
96	1.002505553
97	1.002441627
98	1.002026069
99	1.001641501
