iter	Passed	Remaining
0	5	498
1	7	386
2	10	340
3	12	305
4	14	281
5	19	305
6	21	287
7	24	286
8	27	279
9	29	264
10	32	259
11	33	248
12	35	239
13	37	233
14	41	236
15	44	234
16	47	230
17	48	222
18	50	215
19	52	209
20	54	204
21	57	203
22	60	202
23	62	197
24	64	192
25	68	195
26	70	190
27	73	190
28	76	187
29	79	185
30	81	181
31	85	181
32	88	179
33	92	178
34	94	175
35	96	171
36	99	168
37	101	165
38	104	163
39	107	161
40	109	158
41	112	154
42	114	151
43	117	149
44	120	147
45	123	144
46	125	141
47	128	139
48	131	136
49	135	135
50	138	132
51	141	130
52	145	128
53	147	125
54	150	123
55	153	120
56	156	117
57	159	115
58	161	112
59	164	109
60	168	107
61	169	103
62	171	100
63	175	98
64	176	95
65	180	93
66	183	90
67	187	88
68	190	85
69	193	83
70	199	81
71	200	77
72	203	75
73	206	72
74	211	70
75	220	69
76	223	66
77	226	63
78	230	61
79	232	58
80	235	55
81	238	52
82	242	49
83	245	46
84	248	43
85	252	41
86	256	38
87	257	35
88	260	32
89	262	29
90	266	26
91	268	23
92	272	20
93	276	17
94	279	14
95	282	11
96	286	8
97	290	5
98	293	2
99	296	0
